PriorityRank,Keyword,AdPotentialScore,Tier,HitConfidence,ExpectedAdType,AdSignal,CPC,Volume,Intents,SERP Features,Category,Source Batch,sc_AdPresence,sc_CPC,sc_Intent,sc_Volume,sc_Lexical
41,travel insurance cheap,77,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $3.50 | Commercial+Local,3.5,800,"Informational,Commercial,Non-branded,Non-local","AI Overview,Discussions,Bottom ads,Paid sitelinks,Top ads",Travel insurance,Batch 5 (AAMI insurance),36,26,4,3,8
42,hampers australia,77,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Paid sitelinks+Shopping Ads | CPC $1.40 | Transactional+Commercial+Local,1.4,1200,"Informational,Commercial,Transactional,Non-branded,Local","Shopping Ads,Thumbnail,Top ads,Paid sitelinks,Sitelinks,Shopping,Bottom ads",Gifts,"Batch 4 (40"" smart TV)",45,15,12,5,0
43,pet food australia,77,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Paid sitelinks+Shopping Ads | CPC $1.30 | Transactional+Commercial+Local,1.3,2000,"Informational,Commercial,Transactional,Non-branded,Local","Shopping Ads,Thumbnail,Top ads,Sitelinks,People also ask,Shopping,Paid sitelinks,Bottom ads",Shopping,"Batch 4 (40"" smart TV)",45,15,12,5,0
44,compare car insurance,76,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads | CPC $9.00 | Commercial+Local,9.0,31000,"Informational,Commercial,Non-branded,Non-local","Top ads,People also ask,Bottom ads,Video preview",Vehicle insurance,Batch 5 (AAMI insurance),29,30,4,5,8
45,best divorce lawyer sydney,76,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads | CPC $7.00 | Commercial+Local,7.0,150,"Informational,Commercial,Non-branded,Local","Top ads,AI Overview,Local pack,People also ask,Discussions,Bottom ads",Family law,Batch 2 (24hr accountant),29,30,6,3,8
46,melbourne emergency plumber,76,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads | CPC $6.00 | Transactional+Commercial+Local,6.0,50,"Commercial,Transactional,Non-branded,Local","Top ads,Local pack,People also ask,Bottom ads",Plumbing,Batch 2 (24hr accountant),29,26,12,1,8
47,blocked drain plumber melbourne,76,A - Prime,Very High,Text ads,SERP: Top ads+Paid sitelinks | CPC $5.00 | Transactional+Commercial+Local,5.0,450,"Informational,Commercial,Transactional,Non-branded,Local","Top ads,Paid sitelinks,Local pack,People also ask",Plumbing,Batch 2 (24hr accountant),27,26,12,3,8
48,leak detection plumber near me,76,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads | CPC $3.50 | Transactional+Commercial+Local,3.5,50,"Informational,Commercial,Transactional,Non-branded,Local","Top ads,Local pack,People also ask,Discussions,Bottom ads",Plumbing,Batch 2 (24hr accountant),29,26,12,1,8
49,pest control adelaide,76,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $3.00 | Commercial+Local,3.0,1700,"Informational,Commercial,Non-branded,Local","Top ads,Paid sitelinks,Local pack,People also ask,Bottom ads",Pest control,Batch 2 (24hr accountant),36,21,6,5,8
50,solar batteries for sale,76,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Paid sitelinks+Shopping | CPC $2.00 | Transactional+Commercial+Local,2.0,200,"Informational,Commercial,Transactional,Non-branded,Non-local","Top ads,Paid sitelinks,Shopping,Thumbnail,People also ask",Shopping portals,Batch 3 (3D printer),33,21,11,3,8
51,banner printing,76,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Paid sitelinks+Shopping Ads | CPC $1.00 | Transactional+Commercial+Local,1.0,1200,"Informational,Commercial,Transactional,Non-branded,Non-local","Shopping Ads,Thumbnail,Top ads,Paid sitelinks,Sitelinks,Local pack,Shopping,Video preview,Bottom ads",Photo printing,Batch 2 (24hr accountant),45,15,11,5,0
52,photo albums,76,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Paid sitelinks+Shopping Ads | CPC $0.80 | Transactional+Commercial+Local,0.8,2000,"Informational,Commercial,Transactional,Non-branded,Non-local","Shopping Ads,Thumbnail,Top ads,Shopping,Sitelinks,People also ask,Image pack,Video preview,Bottom ads,Paid sitelinks",Video,"Batch 1 (1-7,100+,accessories)",45,15,11,5,0
53,urgent electrician,75,A - Prime,Very High,Text ads,SERP: Top ads+Paid sitelinks | CPC $11.00 | Transactional+Local,11.0,150,"Transactional,Non-branded,Non-local","Top ads,Paid sitelinks,Local pack,People also ask",Home improvement,Batch 2 (24hr accountant),27,30,7,3,8
54,employment lawyer,75,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $4.50 | Local,4.5,1900,"Informational,Non-branded,Non-local","Top ads,AI Overview,Thumbnail,People also ask,Knowledge panel,Paid sitelinks,Bottom ads,Video preview",Employment law,Batch 2 (24hr accountant),36,26,0,5,8
55,dog food near me,75,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Paid sitelinks+Shopping Ads | CPC $0.80 | Transactional+Commercial+Local,0.8,700,"Commercial,Transactional,Non-branded,Local","Top ads,Paid sitelinks,Local pack,Shopping,Thumbnail,People also ask,Sitelinks,Shopping Ads,Bottom ads",Shopping,Batch 5 (AAMI insurance),45,15,12,3,0
56,life insurance advisor,74,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads | CPC $16.00 | Commercial+Local,16.0,100,"Informational,Commercial,Non-branded,Non-local","Top ads,Local pack,People also ask,Bottom ads",Life insurance,Batch 2 (24hr accountant),29,30,4,3,8
57,home insurance comparison,74,A - Prime,Very High,Text ads,SERP: Top ads+Paid sitelinks | CPC $9.00 | Commercial+Local,9.0,6300,"Informational,Commercial,Non-branded,Non-local","Top ads,Paid sitelinks,People also ask,Video preview",Home insurance,Batch 5 (AAMI insurance),27,30,4,5,8
58,electrician gold coast,74,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads | CPC $5.00 | Commercial+Local,5.0,1100,"Informational,Commercial,Non-branded,Local","Top ads,Local pack,People also ask,Bottom ads",Home improvement,Batch 2 (24hr accountant),29,26,6,5,8
59,termite inspection brisbane,74,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $3.00 | Commercial+Local,3.0,600,"Informational,Commercial,Non-branded,Local","Top ads,Local pack,People also ask,Bottom ads,Paid sitelinks,Video preview",Pest control,Batch 2 (24hr accountant),36,21,6,3,8
60,solar,74,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $1.90 | Commercial+Local,1.9,9700,"Informational,Commercial,Non-branded,Non-local","Top ads,People also ask,Video preview,Bottom ads,Paid sitelinks",Alternative energy; Technology,Batch 3 (3D printer),36,21,4,5,8
